text,drug1,drug2,ddi,ddi_type
drug0 may interact with the following drugs : drug0 and other drug0 ( may lower drug0 levels )  drug0 ( bioavailability of oral drug0 is increased with coadministration )  drug0 ( may decrease drug0 levels )  drug0 ( reports of psychotic episodes when coadministered )  drug1 ( coadministration of drug0 with drug0 can inhibit ovarian function in women )  drug2 and other sedating drugs ( may result in additive sedation and an increased incidence of adverse effects )  and drug0 ( coadministration of drug0 and drug0 may interfere with the efficacy of the drug0 ) .,progestin,benzodiazepenes,FALSE,none
drug0 may interact with the following drugs : drug0 and other drug0 ( may lower drug0 levels )  drug0 ( bioavailability of oral drug0 is increased with coadministration )  drug0 ( may decrease drug0 levels )  drug0 ( reports of psychotic episodes when coadministered )  drug1 ( coadministration of drug0 with drug0 can inhibit ovarian function in women )  drug0 and other sedating drugs ( may result in additive sedation and an increased incidence of adverse effects )  and drug2 ( coadministration of drug0 and drug0 may interfere with the efficacy of the drug0 ) .,progestin,corticosteroids,FALSE,none
drug2 may interact with the following drugs : drug0 and other drug0 ( may lower drug0 levels )  drug0 ( bioavailability of oral drug0 is increased with coadministration )  drug0 ( may decrease drug0 levels )  drug0 ( reports of psychotic episodes when coadministered )  drug1 ( coadministration of drug0 with drug0 can inhibit ovarian function in women )  drug0 and other sedating drugs ( may result in additive sedation and an increased incidence of adverse effects )  and drug0 ( coadministration of drug0 and drug0 may interfere with the efficacy of the drug0 ) .,progestin,melatonin,FALSE,none
drug0 may interact with the following drugs : drug0 and other drug0 ( may lower drug0 levels )  drug0 ( bioavailability of oral drug0 is increased with coadministration )  drug0 ( may decrease drug0 levels )  drug0 ( reports of psychotic episodes when coadministered )  drug1 ( coadministration of drug0 with drug0 can inhibit ovarian function in women )  drug0 and other sedating drugs ( may result in additive sedation and an increased incidence of adverse effects )  and drug2 ( coadministration of drug0 and drug0 may interfere with the efficacy of the drug0 ) .,progestin,corticosteroids,FALSE,none
drug0 may interact with the following drugs : drug0 and other drug0 ( may lower drug0 levels )  drug0 ( bioavailability of oral drug0 is increased with coadministration )  drug0 ( may decrease drug0 levels )  drug0 ( reports of psychotic episodes when coadministered )  drug1 ( coadministration of drug0 with drug0 can inhibit ovarian function in women )  drug0 and other sedating drugs ( may result in additive sedation and an increased incidence of adverse effects )  and drug2 ( coadministration of drug0 and drug0 may interfere with the efficacy of the drug0 ) .,progestin,corticosteroids,FALSE,none
drug0 may interact with the following drugs : drug0 and other drug0 ( may lower drug0 levels )  drug0 ( bioavailability of oral drug0 is increased with coadministration )  drug0 ( may decrease drug0 levels )  drug0 ( reports of psychotic episodes when coadministered )  drug0 ( coadministration of drug0 with drug0 can inhibit ovarian function in women )  drug1 and other sedating drugs ( may result in additive sedation and an increased incidence of adverse effects )  and drug2 ( coadministration of drug0 and drug0 may interfere with the efficacy of the drug0 ) .,benzodiazepenes,corticosteroids,FALSE,none
drug2 may interact with the following drugs : drug0 and other drug0 ( may lower drug0 levels )  drug0 ( bioavailability of oral drug0 is increased with coadministration )  drug0 ( may decrease drug0 levels )  drug0 ( reports of psychotic episodes when coadministered )  drug0 ( coadministration of drug0 with drug0 can inhibit ovarian function in women )  drug1 and other sedating drugs ( may result in additive sedation and an increased incidence of adverse effects )  and drug0 ( coadministration of drug0 and drug0 may interfere with the efficacy of the drug0 ) .,benzodiazepenes,melatonin,FALSE,none
drug0 may interact with the following drugs : drug0 and other drug0 ( may lower drug0 levels )  drug0 ( bioavailability of oral drug0 is increased with coadministration )  drug0 ( may decrease drug0 levels )  drug0 ( reports of psychotic episodes when coadministered )  drug0 ( coadministration of drug0 with drug0 can inhibit ovarian function in women )  drug1 and other sedating drugs ( may result in additive sedation and an increased incidence of adverse effects )  and drug2 ( coadministration of drug0 and drug0 may interfere with the efficacy of the drug0 ) .,benzodiazepenes,corticosteroids,FALSE,none
drug0 may interact with the following drugs : drug0 and other drug0 ( may lower drug0 levels )  drug0 ( bioavailability of oral drug0 is increased with coadministration )  drug0 ( may decrease drug0 levels )  drug0 ( reports of psychotic episodes when coadministered )  drug0 ( coadministration of drug0 with drug0 can inhibit ovarian function in women )  drug1 and other sedating drugs ( may result in additive sedation and an increased incidence of adverse effects )  and drug2 ( coadministration of drug0 and drug0 may interfere with the efficacy of the drug0 ) .,benzodiazepenes,corticosteroids,FALSE,none
drug2 may interact with the following drugs : drug0 and other drug0 ( may lower drug0 levels )  drug0 ( bioavailability of oral drug0 is increased with coadministration )  drug0 ( may decrease drug0 levels )  drug0 ( reports of psychotic episodes when coadministered )  drug0 ( coadministration of drug0 with drug0 can inhibit ovarian function in women )  drug0 and other sedating drugs ( may result in additive sedation and an increased incidence of adverse effects )  and drug1 ( coadministration of drug0 and drug0 may interfere with the efficacy of the drug0 ) .,corticosteroids,melatonin,FALSE,none
drug1 may interact with the following drugs : drug0 and other drug0 ( may lower drug0 levels )  drug0 ( bioavailability of oral drug0 is increased with coadministration )  drug0 ( may decrease drug0 levels )  drug0 ( reports of psychotic episodes when coadministered )  drug0 ( coadministration of drug0 with drug0 can inhibit ovarian function in women )  drug0 and other sedating drugs ( may result in additive sedation and an increased incidence of adverse effects )  and drug2 ( coadministration of drug0 and drug0 may interfere with the efficacy of the drug0 ) .,melatonin,corticosteroids,TRUE,effect
drug1 may interact with the following drugs : drug0 and other drug0 ( may lower drug0 levels )  drug0 ( bioavailability of oral drug0 is increased with coadministration )  drug0 ( may decrease drug0 levels )  drug0 ( reports of psychotic episodes when coadministered )  drug0 ( coadministration of drug0 with drug0 can inhibit ovarian function in women )  drug0 and other sedating drugs ( may result in additive sedation and an increased incidence of adverse effects )  and drug2 ( coadministration of drug0 and drug0 may interfere with the efficacy of the drug0 ) .,melatonin,corticosteroids,FALSE,none
drug1 reports suggest that drug2 may diminish the drug0 effect of angiotensin-converting enzyme ( ace ) inhibitors .,ace inhibitors,nsaids,FALSE,none
drug1 reports suggest that drug0 may diminish the drug0 effect of angiotensin-converting enzyme ( ace ) inhibitors .,ace inhibitors,angiotensin-converting enzyme (ace) inhibitors,FALSE,none
drug0 reports suggest that drug1 may diminish the drug0 effect of angiotensin-converting enzyme ( ace ) inhibitors .,nsaids,angiotensin-converting enzyme (ace) inhibitors,TRUE,effect
this interaction should be given consideration in patients taking drug1 concomitantly with drug2 .,nsaids,ace inhibitors,TRUE,advise
drug1 : concomitant administration of drug0 ( 1000 mg tid ) to healthy volunteers tended to increase the auc ( 10 % ) and cmax ( 24 % ) of drug2 .,aspirin,meloxicam,FALSE,none
drug1 : concomitant administration of drug0 ( 1000 mg tid ) to healthy volunteers tended to increase the auc ( 10 % ) and cmax ( 24 % ) of drug2 .,aspirin,meloxicam,TRUE,mechanism
however  as with other drug1  concomitant administration of drug2 and drug0 is not generally recommended because of the potential for increased adverse effects .,nsaids,meloxicam,FALSE,none
however  as with other drug1  concomitant administration of drug0 and drug2 is not generally recommended because of the potential for increased adverse effects .,nsaids,aspirin,TRUE,advise
however  as with other drug0  concomitant administration of drug1 and drug2 is not generally recommended because of the potential for increased adverse effects .,meloxicam,aspirin,TRUE,advise
concomitant administration of low-dose drug1 with drug2 may result in an increased rate of gi ulceration or other complications  compared to use of drug0 alone .,aspirin,mobic,TRUE,effect
concomitant administration of low-dose drug1 with drug2 may result in an increased rate of gi ulceration or other complications  compared to use of drug0 alone .,aspirin,mobic,FALSE,none
drug1 : pretreatment for four days with drug0 significantly increased the clearance of drug2 by 50 % .,cholestyramine,meloxicam,FALSE,none
drug1 : pretreatment for four days with drug0 significantly increased the clearance of drug2 by 50 % .,cholestyramine,meloxicam,TRUE,mechanism
in vitro testing found no protein binding drug interaction between drug1 and drug2 .,digoxin,meloxicam,FALSE,none
drug1 : clinical studies  as well as post-marketing observations  have shown that drug2 can reduce the natriuretic effect of drug0 and thiazide drug0 in some patients .,furosemide,nsaids,FALSE,none
drug1 : clinical studies  as well as post-marketing observations  have shown that drug0 can reduce the natriuretic effect of drug0 and drug2 in some patients .,furosemide,thiazide diuretics,FALSE,none
drug2 : clinical studies  as well as post-marketing observations  have shown that drug1 can reduce the natriuretic effect of drug0 and thiazide drug0 in some patients .,nsaids,furosemide,TRUE,effect
drug0 : clinical studies  as well as post-marketing observations  have shown that drug1 can reduce the natriuretic effect of drug0 and drug2 in some patients .,nsaids,thiazide diuretics,TRUE,effect
drug1 : clinical studies  as well as post-marketing observations  have shown that drug0 can reduce the natriuretic effect of drug0 and drug2 in some patients .,furosemide,thiazide diuretics,FALSE,none
studies with drug1 agents and drug2 have not demonstrated a reduction in natriuretic effect .,furosemide,meloxicam,FALSE,none
nevertheless  during concomitant therapy with drug1 and drug2  patients should be observed closely for signs of declining renal function  as well as to assure drug0 efficacy .,furosemide,mobic,TRUE,advise
drug1 : in clinical trials  drug2 have produced an elevation of plasma drug0 levels and a reduction in renal drug0 clearance .,lithium,nsaids,FALSE,none
drug2 : in clinical trials  drug1 have produced an elevation of plasma drug0 levels and a reduction in renal drug0 clearance .,nsaids,lithium,TRUE,mechanism
drug2 : in clinical trials  drug1 have produced an elevation of plasma drug0 levels and a reduction in renal drug0 clearance .,nsaids,lithium,FALSE,none
in a study conducted in healthy subjects  mean pre-dose drug1 concentration and auc were increased by 21 % in subjects receiving drug0 doses ranging from 804 to 1072 mg bid with drug2 15 mg qd as compared to subjects receiving drug0 alone .,lithium,meloxicam,FALSE,none
in a study conducted in healthy subjects  mean pre-dose drug1 concentration and auc were increased by 21 % in subjects receiving drug0 doses ranging from 804 to 1072 mg bid with drug2 15 mg qd as compared to subjects receiving drug0 alone .,lithium,meloxicam,TRUE,mechanism
in a study conducted in healthy subjects  mean pre-dose drug2 concentration and auc were increased by 21 % in subjects receiving drug0 doses ranging from 804 to 1072 mg bid with drug1 15 mg qd as compared to subjects receiving drug0 alone .,meloxicam,lithium,FALSE,none
patients on drug1 treatment should be closely monitored when drug2 is introduced or withdrawn .,lithium,mobic,TRUE,advise
drug1 : a study in 13 rheumatoid arthritis ( ra ) patients evaluated the effects of multiple doses of drug2 on the pharmacokinetics of drug0 taken once weekly .,methotrexate,meloxicam,FALSE,none
drug2 : a study in 13 rheumatoid arthritis ( ra ) patients evaluated the effects of multiple doses of drug1 on the pharmacokinetics of drug0 taken once weekly .,meloxicam,methotrexate,FALSE,none
in vitro  drug1 did not displace drug2 from its human serum binding sites .,methotrexate,meloxicam,FALSE,none
drug1 : drug0 activity should be monitored  particularly in the first few days after initiating or changing drug2 therapy in patients receiving drug0 or similar agents  since these patients are at an increased risk of bleeding .,warfarin,mobic,FALSE,none
drug2 : drug0 activity should be monitored  particularly in the first few days after initiating or changing drug1 therapy in patients receiving drug0 or similar agents  since these patients are at an increased risk of bleeding .,mobic,warfarin,TRUE,advise
the effect of drug1 on the drug0 effect of drug2 was studied in a group of healthy subjects receiving daily doses of drug0 that produced an inr ( international normalized ratio ) between 1.2 and 1.8 .,meloxicam,warfarin,FALSE,none
the effect of drug1 on the drug0 effect of drug2 was studied in a group of healthy subjects receiving daily doses of drug0 that produced an inr ( international normalized ratio ) between 1.2 and 1.8 .,meloxicam,warfarin,FALSE,none
caution should be used when administering drug1 with drug2 since patients on drug0 may experience changes in inr and an increased risk of bleeding complications when a new medication is introduced .,mobic,warfarin,TRUE,advise
caution should be used when administering drug1 with drug2 since patients on drug0 may experience changes in inr and an increased risk of bleeding complications when a new medication is introduced .,mobic,warfarin,FALSE,none
drug interactions there are no known drug/drug interactions with oral drug1 vaccinations with drug2 are not recommended in immunocompromised individuals drug0 together with hidrug0-dose intravenous drug0 has caused deaths in children due to haemorrhagic enterocolitis .,alkeran,live organism vaccines,FALSE,none
drug interactions there are no known drug/drug interactions with oral drug1 vaccinations with drug0 are not recommended in immunocompromised individuals drug2 together with hidrug0-dose intravenous drug0 has caused deaths in children due to haemorrhagic enterocolitis .,alkeran,nalidixic acid,FALSE,none
drug interactions there are no known drug/drug interactions with oral drug1 vaccinations with drug0 are not recommended in immunocompromised individuals drug0 together with hidrug0-dose intravenous drug2 has caused deaths in children due to haemorrhagic enterocolitis .,alkeran,melphalan,FALSE,none
drug interactions there are no known drug/drug interactions with oral drug0 vaccinations with drug1 are not recommended in immunocompromised individuals drug2 together with hidrug0-dose intravenous drug0 has caused deaths in children due to haemorrhagic enterocolitis .,live organism vaccines,nalidixic acid,FALSE,none
drug interactions there are no known drug/drug interactions with oral drug0 vaccinations with drug1 are not recommended in immunocompromised individuals drug0 together with hidrug0-dose intravenous drug2 has caused deaths in children due to haemorrhagic enterocolitis .,live organism vaccines,melphalan,FALSE,none
drug interactions there are no known drug/drug interactions with oral drug0 vaccinations with drug0 are not recommended in immunocompromised individuals drug1 together with hidrug0-dose intravenous drug2 has caused deaths in children due to haemorrhagic enterocolitis .,nalidixic acid,melphalan,TRUE,effect
impaired renal function has been described in bone marrow transplant patients who were conditioned with hidrug0-dose intravenous drug1 and who subsequently received drug2 to prevent graft-versus-host disease,melphalan,cyclosporin,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug2  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,anticholinergic drugs,amantadine,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug0  drug2 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,anticholinergic drugs,antiarrhythmic agents of class i,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug0  drug0 ( e.g.  drug2 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,anticholinergic drugs,quinidine,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug0  drug0 ( e.g.  drug0 )  drug2  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,anticholinergic drugs,antihistamines,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug0  drug0 ( e.g.  drug0 )  drug0  drug2 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,anticholinergic drugs,antipsychotic agents,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug0  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug2 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,anticholinergic drugs,phenothiazines,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug0  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug2  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,anticholinergic drugs,benzodiazepines,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug0  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug2  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,anticholinergic drugs,mao inhibitors,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug0  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  drug2 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,anticholinergic drugs,narcotic analgesics,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug0  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug2 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,anticholinergic drugs,meperidine,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug0  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug2 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,anticholinergic drugs,nitrates,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug0  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug2  drug0  drug0 drug0  and other drugs having drug0 activity .,anticholinergic drugs,nitrites,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug0  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug2  drug0 drug0  and other drugs having drug0 activity .,anticholinergic drugs,sympathomimetic agents,TRUE,effect
the following agents may increase certain actions or side effects of drug1 : drug0  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug2  and other drugs having drug0 activity .,anticholinergic drugs,tricyclic antidepressants,TRUE,effect
the following agents may increase certain actions or side effects of drug0 drugs : drug1  drug0 ( e.g.  drug2 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,amantadine,quinidine,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug1  drug0 ( e.g.  drug0 )  drug2  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,amantadine,antihistamines,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug1  drug0 ( e.g.  drug0 )  drug0  drug2 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,amantadine,antipsychotic agents,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug1  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug2 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,amantadine,phenothiazines,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug1  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug2  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,amantadine,benzodiazepines,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug1  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug2  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,amantadine,mao inhibitors,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug1  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  drug2 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,amantadine,narcotic analgesics,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug1  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug2 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,amantadine,meperidine,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug1  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug2 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,amantadine,nitrates,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug1  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug2  drug0  drug0 drug0  and other drugs having drug0 activity .,amantadine,nitrites,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug1  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug2  drug0 drug0  and other drugs having drug0 activity .,amantadine,sympathomimetic agents,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug1  drug0 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug2  and other drugs having drug0 activity .,amantadine,tricyclic antidepressants,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug1 ( e.g.  drug2 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,antiarrhythmic agents of class i,quinidine,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug1 ( e.g.  drug0 )  drug2  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,antiarrhythmic agents of class i,antihistamines,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug1 ( e.g.  drug0 )  drug0  drug2 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,antiarrhythmic agents of class i,antipsychotic agents,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug1 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug2 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,antiarrhythmic agents of class i,phenothiazines,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug1 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug2  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,antiarrhythmic agents of class i,benzodiazepines,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug1 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug2  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,antiarrhythmic agents of class i,mao inhibitors,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug1 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  drug2 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,antiarrhythmic agents of class i,narcotic analgesics,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug1 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug2 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,antiarrhythmic agents of class i,meperidine,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug1 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug2 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,antiarrhythmic agents of class i,nitrates,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug1 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug2  drug0  drug0 drug0  and other drugs having drug0 activity .,antiarrhythmic agents of class i,nitrites,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug1 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug2  drug0 drug0  and other drugs having drug0 activity .,antiarrhythmic agents of class i,sympathomimetic agents,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug1 ( e.g.  drug0 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug2  and other drugs having drug0 activity .,antiarrhythmic agents of class i,tricyclic antidepressants,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug0 ( e.g.  drug1 )  drug2  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,quinidine,antihistamines,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug0 ( e.g.  drug1 )  drug0  drug2 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,quinidine,antipsychotic agents,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug0 ( e.g.  drug1 )  drug0  drug0 ( e.g.  drug2 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,quinidine,phenothiazines,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug0 ( e.g.  drug1 )  drug0  drug0 ( e.g.  drug0 )  drug2  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,quinidine,benzodiazepines,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug0 ( e.g.  drug1 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug2  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,quinidine,mao inhibitors,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug0 ( e.g.  drug1 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  drug2 ( e.g.  drug0 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,quinidine,narcotic analgesics,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug0 ( e.g.  drug1 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug2 )  drug0 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,quinidine,meperidine,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug0 ( e.g.  drug1 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug2 and drug0  drug0  drug0 drug0  and other drugs having drug0 activity .,quinidine,nitrates,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug0 ( e.g.  drug1 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug2  drug0  drug0 drug0  and other drugs having drug0 activity .,quinidine,nitrites,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug0 ( e.g.  drug1 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug2  drug0 drug0  and other drugs having drug0 activity .,quinidine,sympathomimetic agents,FALSE,none
the following agents may increase certain actions or side effects of drug0 drugs : drug0  drug0 ( e.g.  drug1 )  drug0  drug0 ( e.g.  drug0 )  drug0  drug0  narcotic drug0 ( e.g.  drug0 )  drug0 and drug0  drug0  drug2  and other drugs having drug0 activity .,quinidine,tricyclic antidepressants,FALSE,none
